Source,Target,Type,Id,Label,Weight
2298827,2299341,Undirected,0,80304,1
2298827,2301359,Undirected,1,80377,1
2298827,2299049,Undirected,2,80320,2
2298827,2300631,Undirected,3,80334,2
2298827,2300521,Undirected,4,80333,1
2298827,2302866,Undirected,5,80469,1
2298827,2302322,Undirected,6,80432,1
2298827,2298804,Undirected,8,80288,3
2298827,2304890,Undirected,9,80604,1
2298827,2303298,Undirected,10,80513,1
2298827,2300386,Undirected,12,80330,1
2298827,2301377,Undirected,13,80378,1
2298827,2298785,Undirected,14,80289,20
2298827,2298730,Undirected,18,80290,21
2298827,2300379,Undirected,19,80329,1
2301359,2301377,Undirected,23,80388,1
2299049,2298785,Undirected,34,80472,1
2299049,2298730,Undirected,35,80322,2
2300631,2301124,Undirected,36,80610,1
2300631,2304890,Undirected,37,80611,1
2300521,2300631,Undirected,40,80349,1
2301124,2298827,Undirected,41,80420,8
2301124,2301359,Undirected,42,80381,1
2301124,2302866,Undirected,43,80470,1
2301124,2304890,Undirected,44,80614,1
2301124,2298785,Undirected,45,80379,7
2301124,2298730,Undirected,46,80380,6
2298804,2299341,Undirected,49,80306,1
2298804,2300631,Undirected,50,80590,1
2298804,2301124,Undirected,51,80592,1
2298804,2304890,Undirected,52,80593,1
2298804,2304686,Undirected,53,80587,1
2298804,2298785,Undirected,54,80291,3
2298804,2298730,Undirected,56,80292,4
2299000,2298827,Undirected,58,80281,1
2299000,2299049,Undirected,59,80280,1
2299000,2298730,Undirected,60,80279,1
2299766,2298827,Undirected,61,80317,1
2299766,2299049,Undirected,62,80318,1
2299766,2298730,Undirected,63,80319,1
2300883,2298827,Undirected,66,80489,1
2300883,2303298,Undirected,67,80487,1
2300883,2298785,Undirected,68,80486,1
2300883,2298730,Undirected,69,80488,1
2304686,2298827,Undirected,71,80594,1
2304686,2300631,Undirected,72,80596,1
2304686,2301124,Undirected,73,80598,1
2304686,2304890,Undirected,74,80599,1
2304686,2298785,Undirected,75,80595,1
2298706,2298827,Undirected,77,80532,2
2298706,2300631,Undirected,78,80583,1
2298706,2301124,Undirected,79,80585,1
2298706,2302411,Undirected,80,80435,1
2298706,2298804,Undirected,81,80579,1
2298706,2304890,Undirected,82,80586,1
2298706,2304686,Undirected,83,80580,1
2298706,2298785,Undirected,84,80582,1
2301741,2298827,Undirected,86,80408,1
2301741,2298785,Undirected,87,80409,1
2301735,2298827,Undirected,88,80403,1
2301735,2301741,Undirected,89,80402,1
2301735,2298785,Undirected,90,80404,1
2301735,2298730,Undirected,91,80401,1
2302730,2298827,Undirected,92,80462,1
2302730,2301124,Undirected,93,80463,1
2302730,2302866,Undirected,94,80464,1
2302730,2298785,Undirected,95,80461,1
2300386,2300631,Undirected,96,80343,1
2300386,2300521,Undirected,97,80342,1
2300386,2298785,Undirected,98,80341,1
2300386,2298730,Undirected,99,80340,1
2301377,2301124,Undirected,100,80389,1
2301377,2298785,Undirected,101,80390,1
2301377,2298730,Undirected,102,80391,1
2298785,2299341,Undirected,103,80297,1
2298785,2301359,Undirected,104,80384,1
2298785,2300631,Undirected,105,80348,2
2298785,2300521,Undirected,106,80347,1
2298785,2302866,Undirected,107,80467,1
2298785,2302322,Undirected,108,80429,1
2298785,2304890,Undirected,109,80608,1
2298785,2299766,Undirected,110,80313,1
2298785,2303298,Undirected,111,80490,2
2298711,2298827,Undirected,118,80425,3
2298711,2300631,Undirected,119,80575,1
2298711,2301124,Undirected,120,80577,1
2298711,2302411,Undirected,121,80434,1
2298711,2302322,Undirected,122,80426,1
2298711,2298804,Undirected,123,80571,1
2298711,2304890,Undirected,124,80578,1
2298711,2304686,Undirected,125,80572,1
2298711,2298706,Undirected,126,80433,3
2298711,2298785,Undirected,127,80423,2
2298711,2298730,Undirected,128,80424,3
2298730,2299341,Undirected,131,80301,1
2298730,2301359,Undirected,132,80386,1
2298730,2300631,Undirected,134,80346,2
2298730,2300521,Undirected,135,80345,1
2298730,2302866,Undirected,136,80460,1
2298730,2302322,Undirected,137,80431,1
2298730,2304890,Undirected,138,80559,1
2298730,2303298,Undirected,139,80517,1
2298730,2304686,Undirected,141,80553,1
2298730,2298706,Undirected,142,80551,2
2298730,2301741,Undirected,143,80405,1
2298730,2302730,Undirected,144,80456,1
2298730,2298785,Undirected,145,80323,20
2300379,2300631,Undirected,151,80339,1
2300379,2300521,Undirected,152,80338,1
2300379,2300386,Undirected,153,80335,1
2300379,2298785,Undirected,154,80337,1
2300379,2298730,Undirected,155,80336,1
