Id,Label,Eccentricity,closnesscentrality,betweenesscentrality,Degree,componentnumber,modularity_class,clustering,triangles,harmonicclosnesscentrality,weighted degree,Authority,Hub,pageranks,eigencentrality
2298730,VICK,2,0.962963,74.666667,25,0,1,0.283333,85,0.980769,77,0.366558,0.366554,0.105352,1
2298785,STU,2,0.928571,63.5,24,0,1,0.300725,83,0.961538,73,0.360695,0.360692,0.100541,0.983477
2298827,ALAN,2,0.962963,74.666667,25,0,1,0.283333,85,0.980769,78,0.366558,0.366554,0.105352,1
2298711,TRACY,2,0.634146,14,11,0,0,0.727273,40,0.711538,18,0.22906,0.229061,0.047427,0.621049
2298706,MR TURNER,2,0.619048,11.5,10,0,0,0.822222,37,0.692308,14,0.219867,0.219869,0.043181,0.595833
2301124,CHASTITY,2,0.666667,8,13,0,0,0.641026,50,0.75,31,0.257898,0.257898,0.054077,0.699839
2300631,BECKY,2,0.65,5.25,12,0,0,0.727273,48,0.730769,15,0.250674,0.250675,0.0496,0.680033
2298804,DOUG,2,0.619048,1.75,10,0,0,0.866667,39,0.692308,17,0.225919,0.22592,0.042022,0.612143
2299049,ATASHIR,3,0.541667,0.666667,5,0,1,0.8,8,0.589744,7,0.110529,0.11053,0.02549,0.30326
2303298,JIMMY LANG,3,0.530612,0,4,0,1,1,6,0.570513,5,0.104108,0.10411,0.02067,0.285023
2299341,ALAN & DOUG & VICK,3,0.530612,0,4,0,1,1,6,0.570513,4,0.114695,0.114696,0.019848,0.31254
2301359,ANASTASIA,3,0.541667,0,5,0,1,1,10,0.589744,5,0.128655,0.128657,0.023871,0.350913
2300521,CARLA,3,0.553191,0,6,0,2,1,15,0.608974,6,0.141429,0.141431,0.027615,0.385885
2302411,DAD,3,0.4,0,2,0,0,1,1,0.442308,2,0.039016,0.039016,0.012892,0.105032
2302866,DALLAS,3,0.541667,0,5,0,1,1,10,0.589744,5,0.128655,0.128657,0.023871,0.350913
2302322,DOCTOR,2,0.541667,0,4,0,1,1,6,0.576923,4,0.114968,0.114969,0.019941,0.313482
2304890,ERIN,2,0.604651,0,9,0,0,1,36,0.673077,9,0.216748,0.216749,0.037804,0.587019
2299000,FRONT DESK MAN,3,0.52,0,3,0,1,1,3,0.551282,3,0.073319,0.07332,0.01705,0.201158
2299766,GAY MAN,3,0.530612,0,4,0,1,1,6,0.570513,4,0.104666,0.104668,0.02061,0.286737
2300883,KALOLO FANALUA,3,0.530612,0,4,0,1,1,6,0.570513,4,0.104108,0.10411,0.02067,0.285023
2304686,MINISTER,2,0.604651,0,9,0,0,1,36,0.673077,9,0.216748,0.216749,0.037804,0.587019
2301741,OFFICER BLADEN,3,0.530612,0,4,0,1,1,6,0.570513,4,0.104108,0.10411,0.02067,0.285023
2301735,OFFICER MERRIWEATHER,3,0.530612,0,4,0,1,1,6,0.570513,4,0.104108,0.10411,0.02067,0.285023
2302730,ROGER,3,0.541667,0,5,0,1,1,10,0.589744,5,0.128655,0.128657,0.023871,0.350913
2300386,STEVE,3,0.553191,0,6,0,2,1,15,0.608974,6,0.141429,0.141431,0.027615,0.385885
2301377,STRIPPER DJ,3,0.541667,0,5,0,1,1,10,0.589744,5,0.128655,0.128657,0.023871,0.350913
2300379,VOICE BEHIND THEM,3,0.553191,0,6,0,2,1,15,0.608974,6,0.141429,0.141431,0.027615,0.385885
